FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
YAMLfiles,Medium,CoreDNS poisoning,256,914,71.99%
YAMLfiles,Medium,Administrative Roles,20,862,97.68%
YAMLfiles,Low,Access Kubernetes dashboard,0,1247,100%
YAMLfiles,Medium,Delete Kubernetes events,56,862,93.5%
YAMLfiles,Medium,Prevent containers from allowing command execution,58,862,93.27%
YAMLfiles,High,List Kubernetes secrets,195,862,77.38%
YAMLfiles,Medium,Roles with delete capabilities,176,862,79.58%
YAMLfiles,Medium,Allow privilege escalation,283,386,26.68%
YAMLfiles,Medium,Mount service principal,0,385,100%
YAMLfiles,Low,Configured readiness probe,294,385,23.64%
YAMLfiles,Medium,Automatic mapping of service account,142,609,76.68%
YAMLfiles,High,Host PID/IPC privileges,10,385,97.4%
YAMLfiles,Medium,Container hostPort,4,385,98.96%
YAMLfiles,High,HostNetwork access,12,385,96.88%
YAMLfiles,High,Insecure capabilities,8,385,97.92%
YAMLfiles,Medium,Non-root containers,379,385,1.56%
YAMLfiles,High,Forbidden Container Registries,0,385,0%
YAMLfiles,High,Applications credentials in configuration files,44,552,92.03%
YAMLfiles,High,Writable hostPath mount,16,385,95.84%
YAMLfiles,Low,Access Kubernetes dashboard,0,1247,100%
YAMLfiles,High,Resource limits,314,385,18.44%
YAMLfiles,Medium,Ingress and Egress blocked,338,422,19.91%
YAMLfiles,Low,Immutable container filesystem,304,385,21.04%
YAMLfiles,Medium,Automatic mapping of service account,142,609,76.68%
YAMLfiles,Medium,Automatic mapping of service account,142,609,76.68%
YAMLfiles,Medium,Automatic mapping of service account,142,609,76.68%
YAMLfiles,Medium,Allow privilege escalation,283,386,26.68%
YAMLfiles,Medium,Mount service principal,0,385,100%
YAMLfiles,Low,Configured readiness probe,294,385,23.64%
YAMLfiles,Medium,Automatic mapping of service account,142,609,76.68%
YAMLfiles,High,Host PID/IPC privileges,10,385,97.4%
YAMLfiles,Medium,Container hostPort,4,385,98.96%
YAMLfiles,High,HostNetwork access,12,385,96.88%
YAMLfiles,High,Insecure capabilities,8,385,97.92%
YAMLfiles,Medium,Non-root containers,379,385,1.56%
YAMLfiles,High,Forbidden Container Registries,0,385,0%
YAMLfiles,High,Applications credentials in configuration files,44,552,92.03%
YAMLfiles,High,Writable hostPath mount,16,385,95.84%
YAMLfiles,Low,Access Kubernetes dashboard,0,1247,100%
YAMLfiles,High,Resource limits,314,385,18.44%
YAMLfiles,Medium,Ingress and Egress blocked,338,422,19.91%
YAMLfiles,Low,Immutable container filesystem,304,385,21.04%
YAMLfiles,High,Applications credentials in configuration files,44,552,92.03%
YAMLfiles,High,Applications credentials in configuration files,44,552,92.03%
YAMLfiles,Medium,Ingress and Egress blocked,338,422,19.91%
YAMLfiles,Medium,CoreDNS poisoning,256,914,71.99%
YAMLfiles,Medium,Administrative Roles,20,862,97.68%
YAMLfiles,Low,Access Kubernetes dashboard,0,1247,100%
YAMLfiles,Medium,Delete Kubernetes events,56,862,93.5%
YAMLfiles,Medium,Prevent containers from allowing command execution,58,862,93.27%
YAMLfiles,High,List Kubernetes secrets,195,862,77.38%
YAMLfiles,Medium,Roles with delete capabilities,176,862,79.58%
YAMLfiles,Medium,CoreDNS poisoning,256,914,71.99%
